_id,device_name,holding_open_id,location_id,os,url
1,iPhoneXsMax,otr1Z5BE_mc-l5XqspAVw2nNYQB4,0,iOS 12,cloud://test-f05377.7465-test-f05377/resources/device_image/galaxynote10_black.png
2,Nexus99,GZAdmin,0,aos10,
3,ipx,,0,,
7,ITT iPod 4 A,,0,iOS 6.1.6,
9,ITT iPhone4 A,,2,iOS 7.1.2,
10,iPhone4 B,GZAdmin,1,iOS 7.1,
11,iPhone4S A,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,1,iOS 9.3.5,
14,iPad3 C,,4,iOS 9.3.5,
15,iPad3 A,,0,iOS 6.0.1,
16,iPad3 B,,2,iOS 9.3.5,
17,G14 A,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,0,Android 2.3.3,
18,G7 A,,0,Android 2.3.3,
20,OneX A,,0,Android 4.0.3,
21,Mt25i A,,0,Android 4.0.4,
23,GALAXY S3 B,,4,Android 6.0.1,
24,GALAXY S2 A,,4,Android 4.0.4,
26,GALAXY S A,,0,Android 2.3.3,
27,Note A,,1,Android 4.1.2,
29,Nexus 4 A,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,0,Android 4.2,
30,Nexus 4 B,,0,Android 4.4.4,
31,Nexus 4 C,,1,Android 4.4,
33,iPhone5 B,,0,iOS 9.2,
34,iPhone4 C,,2,iOS 7.0.4,
35,Galaxy Tab2_P5110_A,,4,Android 4.0.3,
36,Nexus 7 A,,0,Android 4.2,
43,iPod 5 D (Blue),,0,iOS 6.0.1,
44,iPod 5 B,,0,iOS 9.3.5,
45,iPod 5 A (Red),,4,iOS 8.4,
46,iPod 5 C,,0,iOS 6.0.1,
47,iPad 4,,2,iOS 9.0,
48,Galaxy S3 C,,3,Android 4.2.2,
49,Galaxy Note 2,,4,Android 4.4.2,
50,Note II B,,0,Android 4.1.1,
51,GALAXY S3 D,,0,Android 4.1.1,
53,Galaxy Note II C,,2,Android 4.3,
54,iPad_Mini_A,,0,iOS 6.1,
55,iPad_Mini_B,,0,iOS 6.1,
56,iPad_Mini_C,,1,iOS 9.3.4,
57,iPad_mini_D,,0,IOS 8.1,
58,iPad_mini_E,,2,iOS 8.3,
59,iPad_mini_F,,2,iOS 9.3.5,
61,Mac Book,,0,,
62,iPad_Mini_G,,4,iOS 8.3,
63,iPad_Mini_H,,0,iOS 9.3.5,
64,iPad_mini_M,,1,iOS 9.3.5,
65,iPad_mini_J,,0,iOS 6.1.2,
67,iPad_Mini_K,,4,iOS 9.3.5,
68,iPad_Mini_L,,1,iOS 9.3.5,
69,iPad_mini_I,,1,iOS 9.3.4,
70,iPad_mini_N,,3,iOS 8.1.3,
73,iPad_Mini_O,,0,iOS 6.1.2,
74,iPad_Mini_P,,1,iOS 10,
75,iPad_Mini_Q,,3,iOS 9.3.4,
76,iPad_Mini_R,,4,iOS 8.4,
77,iPad_Mini_S,,0,iOS 6.1.2,
78,iPhone 5 A,,4,iOS 10.3.2,
80,Galaxy Note 8.0_A,,1,Android 4.2.2,
81,Galaxy Tab 2_7.0_A,,0,Android 4.1.2,
82,Galaxy Tab2 P5100_A,,3,Android 4.1.2,
83,Nexus 7 C,,0,Android 4.4,
84,Galaxy Note 10.1 A,,0,Android 4.1.2,
85,LG-P705_A,,0,Android 4.0.3,
86,Galaxy Tab P1000,,0,Android 2.3.6,
87,Galaxy S4 A,,0,Android 4.2.2,
88,Galaxy Note 3 A,,0,Android 4.3,
89,iPhone 5S A,,2,IOS 11,
90,iPhone 5S B,,1,IOS 11.4.1,
91,Galaxy Note 3 B,,2,Android 4.4.2,
92,Lumia 925 A,,0,Win 8.0,
93,Lumia 925 B,,4,Win 8.0,
94,Lumia 520 A,,4,Win 8.0,
95,Lumia 520 B,,0,Win 8.0,
96,Lumia 925 C,,4,Win 8.0,
97,Lumia 1520 A,,4,Win 8.1,
98,Lumia 925 D,,4,Win 8.1,
99,iPad_Mini2_A_3g,,4,IOS 10.3.2,
100,iPhone 5S C,GZAdmin,3,iOS 11.4.1,
101,GalaxyNote10.1B_P605,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,0,Android 4.3,
102,iPad Air A,GZAdmin,3,iOS 8.4.1,
104,Nexus 5 B,GZAdmin,1,Android 5.0,
105,Nexus 7 B,GZAdmin,4,Android 4.4.2,
106,iPad_Mini2_B,GZAdmin,3,iOS 9.0.2,
107,iPad_Mini2_C,GZAdmin,2,iOS 12,
109,iPad_Mini2_D,GZAdmin,1,iOS 11.0,
110,Galaxy Note10.1 B,otr1Z5Gpwbgt-8XHdcAE1PClnt0w,4,Android 4.3,
114,GALAXY Note 8.0 B,,1,Android 4.1.2,
115,iPad_Mini2_E_3g,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,0,iOS 10.0.1,
116,Nexus 7 D,GZAdmin,1,Android 4.4.2,
117,iPad Air B_3g,,1,iOS 10.0.1,
118,ITT iPad 1 A,GZAdmin,0,iOS 5.1.1,
119,iPad 1 B,GZAdmin,0,iOS 5.1.1,
123,RaymondYe_iPad Air_A,,0,iOS 7.1,
124,RaymondYe_iPad Air_B,,0,iOS 7.0,
126,iPad 1 CC,,0,iOS 5,
127,RaymondYe_iPad Air_C,,0,iOS 7,
128,BlackBerry_Z10_85BC,,0,BlackBerry 10.2.1,
129,BlackBerry Z10_A,,4,BlackBerry 10.3.3,
130,BlackBerry-1459,,0,BlackBerry Dev Alpha,
131,BlackBerry Q10_A,,0,BlackBerry 10.2.1,
132,BlackBerry Q10_B,,4,BlackBerry 10.3.3,
133,iPad_Mini 2_F,,2,iOS 10,
134,ITT Galaxy S3A,,0,Android 4.0.4,
135,iPhone 5_C,,0,iOS 10.3.3,
136,Nexus 7_E,,2,Android 5.0,
137,iPhone 6_A,,0,iOS 10.0.1,
138,iPhone 6+_A,,0,iOS 11.4,
140,Lumia 1520_B,,0,Win 8.0,
141,CS-iPad Air 2-B,,3,iOS 9.3,
142,CS-iPad Mini 3-A,,1,iOS 11.0.1,
144,CS-Galaxy Tab 4-A,,3,Android 4.4.2,
146,CS-iPad Air 2-A,,4,IOS 11.0,
147,CS-iPhone 6 Plus-A,,4,iOS 11.4,
148,Mac Pro,,1,OS X 10.9,
151,CS-Galaxy Note 4-A,,2,Android 5.0,
152,Nexus 9,,3,Android 7.0,
153,TCoE-MacBook Pro-A,,3,OS 10.9.5,
154,CS-Nexus 6,,3,Android 5.0,
156,Nexus6,,3,Nexus6,
161,CS_Nexus 6_A,,5,Android 7.0,
162,2015 3G card,,0,3G,
163,Samsung Galaxy S6_A,,0,Android 5.1.1,
164,iWatch_38mm,,1,,
165,iWatch 42MM_A,,0,WatchOS 1,
166,iWatch 38MM_B,,0,WatchOS 1,
167,Fire HDX 8.9_A,,0,Fire OS 4.5.5,
173,Fire HD 6_A,,0,Fire OS 4.5.5,
174,S6 edge A,,3,Android 6.0.1,
176,CS-iPhone 5S-A,,3,iOS 10.3.3,
178,CS-iPhone 6-C,,2,iOS 10.3.1,
179,CS-iPhone 6-B,,3,iOS 11.4.1,
180,CS-Galaxy S6- A,,3,Android 6.0,
182,CS-iPad Mini4- A,,2,iOS 12.0,
183,CS-iPad Air2- C,,2,iOS 11,
185,CS-iPad Mini 3- B,,3,iOS 10.0.1,
186,Nexus 6_B,,0,Android 7.1.1,
187,Nexus 9_B,,0,Android 5.0,
188,iPhone 6_D,,0,iOS 9.1,
190,iPad Air 2_A,,0,iOS 11.0.1,
191,iPad Air 2_B,,0,iOS 9.1,
192,CS-iPhone 6 Plus-B,,1,iOS 11.0,
193,CS-iPhone 6 Plus-C,,3,iOS 9.3.5,
194,S6 edge B,,0,Android 6.0.1,
196,Nexus 9_C,,0,Android 6.0,
199,CS-iPhone 6-E,,5,iOS 9.1,
200,CS-iPhone 6S-A,,4,iOS 11.2.2,
201,CS-iPhone 6S plus-A,,1,iOS 11.0.1,
202,CS-iPhone 6S plus-B,,3,iOS 12.0.1,
203,CS-iPhone 6S-B,,3,iOS 11.2.5,
204,CS-iPad Mini4- B,,3,iOS 9.0.2,
205,CS-iPad Mini4- C,,4,iOS 10.0.1,
206,CS-iPad Air2- E,,3,iOS 11.4,
207,CS-iPhone 6-D,,5,iOS 9.3.2,
209,CS-Galaxy S2 Tab-A,,1,Android 6.0.1,
214,CS-GalaxyS6- A,,0,Android 6.0.1,
215,CS-GalaxyS6- B,,4,Android 5.1.1,
218,CS-GalaxyTabS2-B,,2,Android 5.0.2,
219,CS-GalaxyS2 Tab-C,,2,Android 6.0.1,
258,CS-iPhone 6Plus-D,,2,iOS 12.0.0,
260,iPhone 6s plus_C,,0,iOS 12.1,
261,iPhone 6s_C,,0,iOS 11.2.2,
262,Nexus 5X_A,,0,Android 8.0,
263,CS-LG_G4 A,,3,Android 5.1,
264,CS-Galaxy S6- C,,1,Android 6.0.1,
265,CS-Galaxy Note5- C,,2,Android 6.0,
266,CS-Galaxy edge+ -A,,3,Android 6.0.1,
267,CS-Galaxy Tab S-A,,4,Android 5.0.2,
268,CS-Galaxy Tab S2-A,,3,Android 5.0.2,
269,CS-iPhone 6S-C,,1,iOS10.0.2,
271,CS-iPhone 6 Plus-F,,3,iOS 12.0,
273,CS-iPad Mini4- D,,1,iOS10.0.1,
274,CS-iPad Mini4- E,,4,iOS 11.2.6,
275,CS-iPad Pro- A,,3,iOS 10.0.1,
276,CS-iPad Pro- B,,1,9.2,
277,CS-Mac Pro2,,2,OS 10.x,
278,CS-iPhone 6S - D,,2,iOS 11 GM,
282,GalaxyTabPro -P901,,2,Android 4.4.2,
283,Fire HDX 8.9,,3,Fire OS 5.3.3.0,
287,iPad Pro 13 Inch_A,,0,iOS 11.3.1,
289,CS - Mac Pro -04,,5,OS 10.16.1,
290,CS-Mac Pro-05,,5,OS 10.16.1,
291,CS - iPhone SE-A,,5,iOS 9.3.1,
292,CS-iPhone 6S - E,,5,iOS 10.3.2,
293,CS - Galaxy Note5 -E,,5,Android 5.1.1,
294,CS-Galaxy S7 Edge,,5,Android 6.0.1,
295,CS-Galaxy Note5 F,,3,Android 6.0.2,
296,CS-Galaxy S7-A,,2,Android 7.0,
297,CS-Galaxy S7-B,,4,Android 6.0.1,
298,CS-Galaxy S7 Edge-02,,1,Android 6.0.1,
299,CS-Nexus 6P-A,,4,Android 8.0.0,
300,CS-Nexus 6P-B,,3,Android 8.0 beta version,
301,CS-iPhone 6S - F,,3,iOS 10.2.1,
302,CS-iPhone 6sP - H,,4,IOS 11.4,
303,CS-iPhone 6sP - I,,4,iOS12,
304,CS-Iphone SE - B,,2,iOS 11.4.1,
305,CS-iPad Pro(12.8),,3,ios 9.2.1,
306,CS-iPencil A1603,,3,,
307,CS-iPad Pro-C,,1,iOS 9.3.2,
308,CS-iPad Pro-D,,2,iOS 11.4.1,
309,CS-iPhone 6S-G,,4,iOS 11.3,
310,Mac book pro_B,,5,OS 10.11.6,
311,iPad Pro 9.7_A,,0,iOS 9.3.2,
312,Mac Book Pro 2_A,,0,Mac OS 10.12.1,
313,Mac Book Pro 2_B,,0,Mac OS 10.12.1,
314,Mac Book Pro 2_C,,0,Mac OS 10.12.1,
315,iPhone 7,,0,iOS 11.4,
316,Galaxy S8+_A,,0,Android 8.x,
317,CS-Mac Pro-06,,5,OS 10.12.5,
318,CS-Mac Pro-07,,5,OS 10.12.5,
319,CS-Mac Pro-08,,5,OS 10.12.5,
320,CS-Mac Pro-09,,4,OS 10.12.5,
321,Mob-Mac Pro-10,,0,OS 10.12.5,
322,Mob-Mac Pro-11,,0,OS 10.12.5,
323,Mob-Mac Pro-12,,0,OS 10.12.5,
324,Mob-Mac Pro-13,,0,OS 10.12.5,
325,CS-Oppo R9s-01,,1,aOS 6.0.1,
326,CS-Vivo X9- 01,,4,aOS 7.1.1,
327,CS-Galaxy S8-01,,1,aOS 7.0,
328,CS-Galaxy S8 Plus-02,,4,aOS 7.0,
329,CS-Galaxy C9-01,,2,aOS 7.1.1,
331,CS-RedMi Note-01,,0,aOS 6.0,
332,CS-HUAWEI Mate9-01,,3,aOS 7.0,
333,CS-HUAWEI P10-01,,0,aOS 7.0,
334,CS-iPhone 7-A,,2,iOS 12,
335,CS-iPhone 7 Plus-A,,1,iOS 12.0,
336,CS-iPhone 7 Plus-B,,0,iOS 12.0 GM,
339,CS-XiaoMi Mix-A,,3,aOS 6.0.1,
349,CS-Mac Pro-14,,5,OS 10.12.5,
350,CS-Mac Pro-15,,5,OS 10.12.5,
351,CS-Mac Pro-16,,4,OS 10.12.5,
352,CS-Mac Pro-17,,5,OS 10.12.5,
353,CS-Mac Pro-18,,3,OS 10.12.5,
354,HUAWEI P10,,6,aOS 7.0,
355,Samsung Galaxy S7,,6,aOS 6.0,
356,HUAWEI Mate 9,,6,aOS 7.0,
361,iPhone7,,6,iOS11.0,
366,iPhone7_#10,,6,iOS10.3.3,
367,iPhone SE,,6,iOS 10.2.1,
368,iPhone 6s,,6,iOS 10.3.2,
369,iPhone 7 PLUS,,6,iOS 10.3.2,
370,Pixel 5.0,,6,aOS 7.0,
371,Mi 6,,6,aOS 7.1.1,
372,CS-Mac Pro-19,,5,OS 10.12.5,
373,CS-Mac Pro-28,,4,OS 10.12.5,
374,CS-Mac Pro-27,,4,OS 10.12.5,
375,CS-Mac Pro-26,,4,OS 10.12.5,
376,CS-Mac Pro-25,,4,OS 10.12.5,
377,CS-Mac Pro-24,,2,OS 10.12.5,
378,CS-Mac Pro-23,,2,OS 10.12.5,
379,CS-Mac Pro-22,,2,OS 10.12.5,
380,CS-Mac Pro-21,,2,OS 10.12.5,
382,CS-Mac Pro-20,,3,OS 10.12.5,
383,UAT_GZ_Galaxy S8,,9,aOS 7.0,
384,UAT_GZ_OPPO R9SK,,9,aOS 6.0.1,
391,UAT_GZ_iPhone SE,,9,iOS 11.4.1,
392,UAT_GZ_iPhone 7,,9,iOS 11.4.1,
393,UAT_GZ_iPhone 6S+,,9,iOS 10.3.3,
394,UAT_GZ_iPhone 6,,9,iOS 9.0.1,
395,CS-iPhone X-A,,3,iOS 12.0,
396,CS-iPhone 8 plus-A,,4,iOS 12,
397,CS-iPhone 8-A,,0,OS 11.0.2,
398,CS-iPhone 8-B,,2,iOS 11.0.3,
399,CS-iPhone 8 plus-B,,0,iOS 11.0.3,
401,CS-iPhone X-B,,0,iOS 11.2.6,
402,CS-Mac Pro-29,,1,OS 10.13.1,
403,CS-Mac Pro-30,,3,OS 10.12.5,
405,iWatch_42_mm,,1,,
406,CS-Mac Pro-31,,5,OS 10.13.2,
407,CS-Mac Pro-32,,5,OS 10.13.2,
408,CS-Mac Pro-33,,5,OS 10.13.2,
409,CS-Mac Pro-34,,5,OS 10.13.2,
410,Macbook Pro 2_D,,0,Mac 11,
411,GZ_Macbook Pro_E,,1,macOS 10.13.3,
412,GZ_Macbook Pro_F,,0,macOS 10.13.3,
413,CS_iPhone 6 Plus_E,,4,IOS12,
414,Digital_IphoneX_A,,9,iOS 11.2,
415,Digital_iPhone7_A,,9,iOS 11.3,
417,Digital_iPhone 8+ A,,9,iOS 11.3,
418,Digital_MacBook Pro1,,9,OS 10.13.3,
419,Digital_GalaxyNote8,,9,aOS7.1.1,
420,Digital_GalaxyS9,,9,aOS8.0.0,
421,Digital_Pixel2XL,,9,aOS8.0,
422,Digital_G6Plus,,9,aOS 7.0,
423,CS-GalaxyS2 Tab-B,,4,Android 5.0.2,
424,UAT_GZ_iPhone 8+,,9,iOS 11.4.1,
425,UAT_GZ_iPhone X,,9,iOS 12.0.1,
426,UAT_GZ_Galaxy S9,,9,aOS 8.0.0,
427,UAT_GZ_Galaxy S9+_1,,9,aOS 8.0.0,
428,UAT_GZ_Pixel 2 XL,,9,aOS 9.0.0,
429,UAT_GZ_Surface Pro,,9,Window 10,
430,UAT_iPhoneX_@1,,6,IOS 11.2.6,
431,UAT_iPhoneX_@2,,6,IOS11.4,
432,UAT_iPhoneX_@3,,6,IOS11.2.1,
433,UAT_iPhone 8 Plus_@1,,6,IOS11.3,
434,UAT_iPhone 8_@1,,6,IOS11.3.1,
435,UAT_iPhone 8_@2,,6,IOS11.3.1,
436,SAMSUNG Note 8,,6,Android 8.0.0,
437,UAT_Galaxy S9_@1,,6,Android 8.0.0,
441,UAT_Galaxy S8+_@1,,6,Android 7.0,
442,UAT_Galaxy S9_@2,,6,Android 8.0.0,
443,UAT_Galaxy S9+_@1,,6,Android 8.0.0,
444,UAT_Galaxy S9+_@2,,6,Android 8.0.0,
445,UAT_Pixel 2_@1,,6,Android 8.0.0,
446,UAT_iPad mini 4_@1,,6,IOS 11,
447,UAT_Surface Pro_@1,,6,Window 10,
448,UAT_Surface Pro_@2,,6,Window 10,
449,UAT_iPad Pro_@1,,6,IOS 11,
450,UAT_Mac Pro_@2,,6,OS 10.13.4,
451,UAT_Mac Pro_@1,,6,OS 10.13.4,
452,UAT_Mac Pro_@3,,6,OS 10.13.4,
453,UAT_GZ_Mac Pro,,9,iOS,
454,UAT_HUAWEI P20 Pro,,6,Android 8.1.0,
455,UAT_MIX 2S,,6,Android 8.0.0,
457,XiaoMi A1,,0,7,
458,ITT Nexus 10A,,4,aOS 4.3,
459,CS-Galaxy Note5-A,,4,aOS 5.0,
460,HK_GL_iPhone 8 Plus,,7,iOS 11.0,
461,HK_MBXAMH_iPhone 8,,7,iOS 11.0,
462,HK_MBX_iPhone 7 Plus,,7,iOS 10.1,
464,HK_MBXAMH_iPhoneX_S,,7,iOS 11.1,
465,HK_MBXAMH_iPhone X_B,,7,iOS 11.4.1,
466,HK_MBXAMH_iPhone 5s,,7,iOS 10.3,
467,HK_MBXAMH_Samsung S9,,7,aOS 8.0,
468,HK_MBXAMH_Note 8,,7,aOS 8.0,
469,HK_MBXAMH_Huawei P10,,7,aOS 7.0,
470,HK_MBXAMH_LG G6,,7,aOS 7.0,
471,HK_MBXAMH_MI6,,7,aOS 8.0,
472,HK_MXGL_iPhone 8,,7,ios 11.0,
473,HK_MBX_iPhone XS Max,,7,iOS 12.0,
474,CS-iPhone XS-A,,3,OS 12.0,
475,CS-iPhone XS Max-A,,2,OS 12.0,
477,#3 iPhone 5,,8,ios12,
478,HK_MBX_iPhone XR_1,,7,iOS 12.0,
479,HK_MBX_iPhone XR_2,,7,iOS12.1,
480,HSBC-Mac Pro 34,otr1Z5MlXfOQ0LXNyyZ_tGXNY-uo,2,,
488,UAT_GZ_Galaxy S9+_3,,9,aOS 8.0.0,
489,UAT_GZ_iPhone XR,,9,iOS 12.0.1,
491,iphone XR,,6,IOS 12.0.1,
496,iphone XS Max,,6,ios 12.0,
497,UAT_GZ_iPhone XS,,9,iOS 12.0,
498,UAT_GZ_iPhone XS Max,,9,iOS 12.0,
500,iphone XS_UAT,,6,ios 12.0,
501,UAT_SAMSUNG S9,,6,Android 8.0,
502,UAT_GZ_iPad Pro,,9,iOS 11.3,
503,HK_MBX_Pixel 3 XL,,7,aOS 9.0,
508,UAT_GZ_Pixel 3 XL_1,,9,aOS 9,
509,Digital_iPhoneXS,,9,iOS12,
510,Digital_IphoneXSMAX,,9,iOS12,
511,HK_MBX_LG Q6plus,,7,aOS 8.1,
512,CS-iPhone 6 - A,,5,iOS 9.3,
513,UAT_GZ_LG V40,,9,AOS 8.1.0,
514,UAT_XA_LG V40,,6,AOS 8.1.0,
515,CS-iPad Air2-D,,5,iOS 8.4,
517,CS-iPhone 6 Plus -G,,5,iOS 9.1,
4,iPhone8,GZAdmin,0,iOS 12.1,
108,Galaxy Tab3_GT-P5210,GZAdmin,0,Android 4.2.2,
999,,,,,
